ECGTE - Environmental Taxes,ECGTE - Environmental Taxes,ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEP - Taxes on Pollution,ECGTEP - Taxes on Pollution,ECGTER - Taxes on Resources,ECGTER - Taxes on Resources,ECGTET - Taxes on Transport (Excluding Fuel for Transport),ECGTET - Taxes on Transport (Excluding Fuel for Transport)
Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP
14 807 950 000.00,0.3600%,0.00,0.0000%,nan,nan%,55 200 000.00,0.0000%,14 752 750 000.00,0.3600%
20 730 310 000.00,0.4500%,0.00,0.0000%,nan,nan%,4 000 000.00,0.0000%,20 726 310 000.00,0.4500%
68 404 710 000.00,1.3000%,44 743 000 000.00,0.8500%,nan,nan%,54 000 000.00,0.0000%,23 607 710 000.00,0.4500%
nan,nan%,115 499 000 000.00,1.9400%,nan,nan%,nan,nan%,28 841 360 000.00,0.4800%
nan,nan%,143 894 000 000.00,2.0900%,nan,nan%,nan,nan%,36 707 410 000.00,0.5300%
nan,nan%,157 885 000 000.00,1.9400%,nan,nan%,nan,nan%,49 168 760 000.00,0.6000%
nan,nan%,172 028 000 000.00,1.8000%,nan,nan%,nan,nan%,56 310 400 000.00,0.5900%
nan,nan%,209 766 000 000.00,1.8100%,nan,nan%,nan,nan%,65 310 210 000.00,0.5600%
nan,nan%,250 577 000 000.00,1.8000%,nan,nan%,nan,nan%,85 247 010 000.00,0.6100%
378 279 330 000.00,2.3300%,268 081 000 000.00,1.6500%,219 940 000.00,0.0000%,3 887 170 000.00,0.0200%,106 091 220 000.00,0.6600%
435 929 310 000.00,2.4700%,308 285 000 000.00,1.7500%,273 200 000.00,0.0000%,4 629 380 000.00,0.0300%,122 741 730 000.00,0.7000%
471 479 560 000.00,2.3800%,320 649 000 000.00,1.6200%,472 290 000.00,0.0000%,5 447 200 000.00,0.0300%,144 911 070 000.00,0.7300%
499 830 680 000.00,2.3100%,359 436 000 000.00,1.6600%,441 610 000.00,0.0000%,6 380 880 000.00,0.0300%,133 572 190 000.00,0.6200%
530 511 180 000.00,2.2300%,359 439 000 000.00,1.5100%,503 350 000.00,0.0000%,7 323 330 000.00,0.0300%,163 245 500 000.00,0.6900%
606 850 300 000.00,2.3800%,411 541 000 000.00,1.6200%,538 580 000.00,0.0000%,9 414 880 000.00,0.0400%,185 355 840 000.00,0.7300%
632 723 080 000.00,2.2600%,412 192 000 000.00,1.4700%,591 300 000.00,0.0000%,8 509 710 000.00,0.0300%,211 430 070 000.00,0.7600%
710 530 030 000.00,2.3600%,465 062 000 000.00,1.5400%,552 350 000.00,0.0000%,9 505 070 000.00,0.0300%,235 410 610 000.00,0.7800%
749 370 100 000.00,2.3400%,480 318 400 000.00,1.5000%,492 490 000.00,0.0000%,10 818 490 000.00,0.0300%,257 740 720 000.00,0.8000%
800 041 080 000.00,2.3300%,517 674 430 000.00,1.5100%,566 250 000.00,0.0000%,11 383 250 000.00,0.0300%,270 417 150 000.00,0.7900%
908 604 450 000.00,2.5200%,525 517 810 000.00,1.4600%,762 240 000.00,0.0000%,102 970 250 000.00,0.2900%,279 354 150 000.00,0.7800%
956 574 200 000.00,2.5300%,560 254 000 000.00,1.4800%,506 200 000.00,0.0000%,100 513 000 000.00,0.2700%,295 301 000 000.00,0.7800%
624 930 520 000.00,1.7100%,444 705 710 000.00,1.2200%,361 600 000.00,0.0000%,10 933 670 000.00,0.0300%,168 929 550 000.00,0.4600%
824 974 160 000.00,2.0600%,529 586 820 000.00,1.3200%,666 820 000.00,0.0000%,15 416 400 000.00,0.0400%,279 304 120 000.00,0.7000%
2 964 500 000.00,2.5000%,2 795 040 000.00,2.3500%,0.00,0.0000%,17 430 000.00,0.0200%,152 030 000.00,0.1300%
3 669 370 000.00,2.8100%,3 387 200 000.00,2.5900%,0.00,0.0000%,18 290 000.00,0.0100%,263 880 000.00,0.2000%
3 919 340 000.00,2.6400%,3 555 930 000.00,2.4000%,0.00,0.0000%,23 040 000.00,0.0200%,340 370 000.00,0.2300%
4 563 600 000.00,2.7800%,4 035 370 000.00,2.4600%,0.00,0.0000%,67 910 000.00,0.0400%,460 320 000.00,0.2800%
4 927 140 000.00,2.9300%,4 376 880 000.00,2.6000%,0.00,0.0000%,69 320 000.00,0.0400%,480 930 000.00,0.2900%
6 217 990 000.00,3.4400%,5 643 580 000.00,3.1200%,0.00,0.0000%,99 940 000.00,0.0600%,474 470 000.00,0.2600%
6 951 450 000.00,3.5800%,5 979 660 000.00,3.0800%,0.00,0.0000%,111 170 000.00,0.0600%,860 610 000.00,0.4400%
8 703 970 000.00,4.0800%,6 829 520 000.00,3.2100%,0.00,0.0000%,104 910 000.00,0.0500%,1 769 540 000.00,0.8300%
9 590 260 000.00,4.0900%,7 254 860 000.00,3.0900%,0.00,0.0000%,26 390 000.00,0.0100%,2 309 020 000.00,0.9800%
10 003 450 000.00,3.9500%,7 342 340 000.00,2.9000%,6 220 000.00,0.0000%,28 160 000.00,0.0100%,2 626 720 000.00,1.0400%
10 395 010 000.00,3.8200%,7 469 680 000.00,2.7400%,16 350 000.00,0.0100%,28 450 000.00,0.0100%,2 880 530 000.00,1.0600%
11 086 960 000.00,3.7300%,7 836 540 000.00,2.6400%,24 050 000.00,0.0100%,43 500 000.00,0.0200%,3 182 870 000.00,1.0700%
11 861 540 000.00,3.6500%,8 302 800 000.00,2.5600%,27 980 000.00,0.0100%,49 680 000.00,0.0200%,3 481 080 000.00,1.0700%
11 970 830 000.00,3.4300%,8 235 250 000.00,2.3600%,31 430 000.00,0.0100%,50 060 000.00,0.0100%,3 654 090 000.00,1.0500%
11 299 970 000.00,3.3900%,8 401 450 000.00,2.5200%,24 150 000.00,0.0100%,46 520 000.00,0.0100%,2 827 850 000.00,0.8500%
11 830 550 000.00,3.5600%,9 003 420 000.00,2.7100%,19 350 000.00,0.0100%,40 360 000.00,0.0100%,2 767 420 000.00,0.8300%
10 901 350 000.00,3.2300%,8 053 790 000.00,2.3900%,12 190 000.00,0.0000%,46 590 000.00,0.0100%,2 788 780 000.00,0.8300%
10 466 640 000.00,3.1300%,7 781 600 000.00,2.3300%,8 920 000.00,0.0000%,50 660 000.00,0.0200%,2 625 470 000.00,0.7900%
11 494 400 000.00,3.4200%,8 801 900 000.00,2.6200%,6 380 000.00,0.0000%,51 030 000.00,0.0200%,2 635 080 000.00,0.7800%
12 631 630 000.00,3.7700%,9 757 510 000.00,2.9100%,3 180 000.00,0.0000%,53 940 000.00,0.0200%,2 817 000 000.00,0.8400%
13 657 720 000.00,3.9700%,10 786 190 000.00,3.1400%,2 210 000.00,0.0000%,52 270 000.00,0.0200%,2 817 050 000.00,0.8200%
14 497 070 000.00,4.0700%,11 487 560 000.00,3.2300%,6 560 000.00,0.0000%,53 200 000.00,0.0200%,2 949 740 000.00,0.8300%
15 243 440 000.00,4.0900%,11 969 970 000.00,3.2200%,2 130 000.00,0.0000%,54 440 000.00,0.0200%,3 216 910 000.00,0.8600%
16 163 580 000.00,4.1400%,13 003 580 000.00,3.3300%,4 990 000.00,0.0000%,70 900 000.00,0.0200%,3 084 120 000.00,0.7900%
16 867 590 000.00,4.0900%,13 554 370 000.00,3.2900%,1 710 000.00,0.0000%,125 700 000.00,0.0300%,3 185 800 000.00,0.7700%
14 788 770 000.00,3.9100%,11 897 050 000.00,3.1500%,6 370 000.00,0.0000%,128 170 000.00,0.0300%,2 757 190 000.00,0.7300%
16 317 480 000.00,3.7900%,13 313 900 000.00,3.0900%,3 480 000.00,0.0000%,132 690 000.00,0.0300%,2 867 420 000.00,0.6700%
200 900 000.00,2.6200%,37 800 000.00,0.4900%,0.00,0.0000%,0.00,0.0000%,163 100 000.00,2.1200%
202 500 000.00,2.5400%,40 100 000.00,0.5000%,0.00,0.0000%,0.00,0.0000%,162 400 000.00,2.0400%
187 700 000.00,2.2400%,38 600 000.00,0.4600%,0.00,0.0000%,0.00,0.0000%,149 100 000.00,1.7800%
207 800 000.00,2.2900%,44 600 000.00,0.4900%,0.00,0.0000%,0.00,0.0000%,163 200 000.00,1.8000%
220 400 000.00,2.2700%,49 800 000.00,0.5100%,0.00,0.0000%,0.00,0.0000%,170 600 000.00,1.7500%
261 600 000.00,2.4700%,69 200 000.00,0.6500%,0.00,0.0000%,0.00,0.0000%,192 400 000.00,1.8200%
313 400 000.00,2.7500%,102 000 000.00,0.8900%,0.00,0.0000%,0.00,0.0000%,211 400 000.00,1.8500%
322 100 000.00,2.7100%,108 200 000.00,0.9100%,0.00,0.0000%,0.00,0.0000%,213 900 000.00,1.8000%
444 400 000.00,3.4600%,226 300 000.00,1.7600%,0.00,0.0000%,0.00,0.0000%,218 100 000.00,1.7000%
502 700 000.00,3.6300%,262 800 000.00,1.9000%,0.00,0.0000%,0.00,0.0000%,239 900 000.00,1.7300%
492 000 000.00,3.3200%,279 400 000.00,1.8900%,0.00,0.0000%,0.00,0.0000%,212 600 000.00,1.4300%
494 200 000.00,3.0900%,285 700 000.00,1.7900%,0.00,0.0000%,0.00,0.0000%,208 500 000.00,1.3000%
549 900 000.00,3.1400%,298 100 000.00,1.7000%,0.00,0.0000%,0.00,0.0000%,251 800 000.00,1.4400%
574 200 000.00,3.0200%,304 800 000.00,1.6000%,0.00,0.0000%,0.00,0.0000%,269 400 000.00,1.4200%
520 000 000.00,2.7800%,305 200 000.00,1.6300%,0.00,0.0000%,0.00,0.0000%,214 800 000.00,1.1500%
534 400 000.00,2.7500%,352 000 000.00,1.8100%,0.00,0.0000%,0.00,0.0000%,182 400 000.00,0.9400%
545 500 000.00,2.7600%,384 000 000.00,1.9400%,0.00,0.0000%,0.00,0.0000%,161 500 000.00,0.8200%
502 500 000.00,2.5900%,363 200 000.00,1.8700%,0.00,0.0000%,1 400 000.00,0.0100%,137 900 000.00,0.7100%
490 000 000.00,2.7200%,380 900 000.00,2.1200%,0.00,0.0000%,1 000 000.00,0.0100%,108 100 000.00,0.6000%
534 100 000.00,3.0600%,415 300 000.00,2.3800%,0.00,0.0000%,900 000.00,0.0100%,117 900 000.00,0.6800%
544 300 000.00,3.0400%,428 500 000.00,2.4000%,0.00,0.0000%,900 000.00,0.0100%,114 900 000.00,0.6400%
554 200 000.00,2.9300%,436 900 000.00,2.3100%,0.00,0.0000%,1 100 000.00,0.0100%,116 200 000.00,0.6100%
608 500 000.00,3.0100%,480 600 000.00,2.3700%,0.00,0.0000%,4 800 000.00,0.0200%,123 100 000.00,0.6100%
632 700 000.00,2.9300%,500 700 000.00,2.3200%,0.00,0.0000%,6 400 000.00,0.0300%,125 600 000.00,0.5800%
583 700 000.00,2.5400%,460 800 000.00,2.0000%,0.00,0.0000%,6 600 000.00,0.0300%,116 300 000.00,0.5100%
533 600 000.00,2.4700%,413 600 000.00,1.9100%,0.00,0.0000%,6 500 000.00,0.0300%,113 500 000.00,0.5300%
562 480 000.00,2.4000%,440 600 000.00,1.8800%,0.00,0.0000%,7 400 000.00,0.0300%,114 480 000.00,0.4900%
43 734 010 000.00,2.7400%,33 883 000 000.00,2.1200%,2 990 000 000.00,0.1900%,1 051 010 000.00,0.0700%,5 810 000 000.00,0.3600%
46 354 590 000.00,2.5300%,36 600 000 000.00,2.0000%,2 659 000 000.00,0.1400%,1 265 590 000.00,0.0700%,5 830 000 000.00,0.3200%
47 412 400 000.00,2.4000%,38 566 000 000.00,1.9600%,2 672 000 000.00,0.1400%,1 291 400 000.00,0.0700%,4 883 000 000.00,0.2500%
51 533 580 000.00,2.3900%,41 214 000 000.00,1.9100%,2 322 000 000.00,0.1100%,1 282 580 000.00,0.0600%,6 715 000 000.00,0.3100%
57 644 080 000.00,2.5600%,46 215 000 000.00,2.0500%,1 973 000 000.00,0.0900%,1 270 080 000.00,0.0600%,8 186 000 000.00,0.3600%
57 937 630 000.00,2.4300%,47 640 000 000.00,2.0000%,1 692 000 000.00,0.0700%,1 368 630 000.00,0.0600%,7 237 000 000.00,0.3000%
63 975 890 000.00,2.4800%,54 083 000 000.00,2.1000%,1 588 400 000.00,0.0600%,1 165 490 000.00,0.0500%,7 139 000 000.00,0.2800%
65 710 930 000.00,2.4400%,54 848 000 000.00,2.0400%,2 264 300 000.00,0.0800%,1 192 630 000.00,0.0400%,7 406 000 000.00,0.2800%
71 418 520 000.00,2.5300%,60 123 000 000.00,2.1300%,2 281 200 000.00,0.0800%,1 218 320 000.00,0.0400%,7 796 000 000.00,0.2800%
80 650 950 000.00,2.6200%,69 304 000 000.00,2.2500%,2 052 200 000.00,0.0700%,1 209 750 000.00,0.0400%,8 085 000 000.00,0.2600%
87 514 410 000.00,2.6600%,75 570 000 000.00,2.3000%,2 312 900 000.00,0.0700%,1 381 510 000.00,0.0400%,8 250 000 000.00,0.2500%
90 553 380 000.00,2.5700%,78 187 650 000.00,2.2100%,2 100 010 000.00,0.0600%,1 437 630 000.00,0.0400%,8 828 090 000.00,0.2500%
100 520 210 000.00,2.6000%,82 971 020 000.00,2.1500%,2 659 700 000.00,0.0700%,1 434 310 000.00,0.0400%,13 455 180 000.00,0.3500%
103 836 570 000.00,2.5700%,85 240 880 000.00,2.1100%,2 536 010 000.00,0.0600%,1 429 860 000.00,0.0400%,14 629 820 000.00,0.3600%
103 276 680 000.00,2.6100%,85 439 530 000.00,2.1600%,2 515 390 000.00,0.0600%,1 398 300 000.00,0.0400%,13 923 450 000.00,0.3500%
104 064 690 000.00,2.6100%,85 212 720 000.00,2.1300%,2 513 680 000.00,0.0600%,1 266 900 000.00,0.0300%,15 071 400 000.00,0.3800%
110 507 570 000.00,2.7200%,89 370 840 000.00,2.2000%,2 401 210 000.00,0.0600%,1 335 280 000.00,0.0300%,17 400 250 000.00,0.4300%
107 560 730 000.00,2.6300%,85 754 650 000.00,2.1000%,2 193 890 000.00,0.0500%,1 496 670 000.00,0.0400%,18 115 510 000.00,0.4400%
105 388 520 000.00,2.5400%,83 994 190 000.00,2.0300%,1 944 360 000.00,0.0500%,1 478 140 000.00,0.0400%,17 971 830 000.00,0.4300%
108 624 710 000.00,2.5000%,86 908 350 000.00,2.0000%,1 981 050 000.00,0.0500%,1 284 410 000.00,0.0300%,18 450 900 000.00,0.4300%
112 741 990 000.00,2.4400%,89 163 920 000.00,1.9300%,1 930 620 000.00,0.0400%,1 295 890 000.00,0.0300%,20 351 550 000.00,0.4400%
119 092 890 000.00,2.4800%,94 902 730 000.00,1.9800%,1 969 790 000.00,0.0400%,1 572 380 000.00,0.0300%,20 647 990 000.00,0.4300%
122 476 260 000.00,2.4000%,96 888 430 000.00,1.9000%,1 910 830 000.00,0.0400%,1 437 680 000.00,0.0300%,22 239 330 000.00,0.4400%
127 313 920 000.00,2.3500%,100 164 580 000.00,1.8500%,2 139 340 000.00,0.0400%,2 559 070 000.00,0.0500%,22 450 920 000.00,0.4200%
140 310 230 000.00,2.4200%,112 108 480 000.00,1.9400%,2 318 500 000.00,0.0400%,3 007 380 000.00,0.0500%,22 875 880 000.00,0.4000%
135 178 980 000.00,2.3700%,107 166 170 000.00,1.8800%,2 611 030 000.00,0.0500%,2 737 660 000.00,0.0500%,22 664 120 000.00,0.4000%
135 046 690 000.00,2.2100%,107 342 120 000.00,1.7600%,2 507 070 000.00,0.0400%,2 875 360 000.00,0.0500%,22 322 140 000.00,0.3700%
16 207 000 000.00,0.3000%,267 000 000.00,0.0100%,0.00,0.0000%,15 940 000 000.00,0.2900%,0.00,0.0000%
15 965 310 000.00,0.1700%,217 980 000.00,0.0000%,0.00,0.0000%,13 726 840 000.00,0.1500%,2 020 490 000.00,0.0200%
12 418 470 000.00,0.1200%,241 960 000.00,0.0000%,0.00,0.0000%,9 822 320 000.00,0.0900%,2 354 200 000.00,0.0200%
13 204 760 000.00,0.1100%,248 900 000.00,0.0000%,0.00,0.0000%,10 161 980 000.00,0.0900%,2 793 880 000.00,0.0200%
14 018 000 000.00,0.1200%,258 000 000.00,0.0000%,0.00,0.0000%,9 443 000 000.00,0.0800%,4 317 000 000.00,0.0400%
14 200 000 000.00,0.1200%,290 000 000.00,0.0000%,0.00,0.0000%,9 734 000 000.00,0.0800%,4 176 000 000.00,0.0400%
22 090 000 000.00,0.1800%,233 000 000.00,0.0000%,0.00,0.0000%,16 859 000 000.00,0.1400%,4 998 000 000.00,0.0400%
23 537 000 000.00,0.1900%,166 000 000.00,0.0000%,0.00,0.0000%,15 583 000 000.00,0.1200%,7 788 000 000.00,0.0600%
16 602 000 000.00,0.1400%,152 000 000.00,0.0000%,0.00,0.0000%,10 727 000 000.00,0.0900%,5 723 000 000.00,0.0500%
15 895 920 000.00,0.1300%,149 000 000.00,0.0000%,0.00,0.0000%,9 703 920 000.00,0.0800%,6 043 000 000.00,0.0500%
16 888 210 000.00,0.1300%,122 000 000.00,0.0000%,0.00,0.0000%,10 824 210 000.00,0.0900%,5 942 000 000.00,0.0500%
16 824 410 000.00,0.1300%,100 000 000.00,0.0000%,0.00,0.0000%,11 138 410 000.00,0.0800%,5 586 000 000.00,0.0400%
18 125 970 000.00,0.1300%,74 000 000.00,0.0000%,0.00,0.0000%,11 892 970 000.00,0.0900%,6 159 000 000.00,0.0500%
19 542 100 000.00,0.1300%,90 130 000.00,0.0000%,0.00,0.0000%,11 678 330 000.00,0.0800%,7 773 640 000.00,0.0500%
19 712 330 000.00,0.1200%,91 270 000.00,0.0000%,0.00,0.0000%,9 872 420 000.00,0.0600%,9 748 640 000.00,0.0600%
18 822 450 000.00,0.1100%,81 200 000.00,0.0000%,0.00,0.0000%,7 536 620 000.00,0.0400%,11 204 630 000.00,0.0700%
7 637 850 000.00,0.0400%,60 710 000.00,0.0000%,0.00,0.0000%,6 025 440 000.00,0.0400%,1 551 700 000.00,0.0100%
37 830 480 000.00,0.2000%,79 550 000.00,0.0000%,3 780 000.00,0.0000%,25 326 060 000.00,0.1400%,12 421 080 000.00,0.0700%
41 670 700 000.00,0.2000%,80 610 000.00,0.0000%,179 250 000.00,0.0000%,26 445 780 000.00,0.1300%,14 965 070 000.00,0.0700%
30 395 350 000.00,0.1300%,95 400 000.00,0.0000%,172 160 000.00,0.0000%,13 222 810 000.00,0.0600%,16 904 980 000.00,0.0700%
31 853 260 000.00,0.1200%,105 310 000.00,0.0000%,112 990 000.00,0.0000%,11 048 540 000.00,0.0400%,20 586 410 000.00,0.0800%
29 354 070 000.00,0.1000%,123 280 000.00,0.0000%,37 180 000.00,0.0000%,10 160 380 000.00,0.0400%,19 033 230 000.00,0.0700%
34 121 240 000.00,0.1100%,129 980 000.00,0.0000%,70 770 000.00,0.0000%,14 963 910 000.00,0.0500%,18 956 580 000.00,0.0600%
29 177 150 000.00,0.0900%,172 880 000.00,0.0000%,5 666 190 000.00,0.0200%,2 767 370 000.00,0.0100%,20 570 700 000.00,0.0600%
35 677 320 000.00,0.1000%,310 130 000.00,0.0000%,11 428 990 000.00,0.0300%,3 676 730 000.00,0.0100%,20 261 470 000.00,0.0600%
28 242 280 000.00,0.0800%,100 760 000.00,0.0000%,5 068 080 000.00,0.0100%,3 590 680 000.00,0.0100%,19 482 770 000.00,0.0600%
44 885 100 000.00,4.3300%,21 640 900 000.00,2.0900%,1 376 000 000.00,0.1300%,786 900 000.00,0.0800%,21 081 300 000.00,2.0300%
49 654 100 000.00,4.5600%,24 177 000 000.00,2.2200%,1 963 400 000.00,0.1800%,1 106 500 000.00,0.1000%,22 407 200 000.00,2.0600%
52 538 700 000.00,4.5800%,24 501 400 000.00,2.1400%,2 442 900 000.00,0.2100%,1 514 600 000.00,0.1300%,24 079 800 000.00,2.1000%
62 751 600 000.00,5.2900%,31 520 400 000.00,2.6600%,2 987 900 000.00,0.2500%,1 837 600 000.00,0.1600%,26 405 700 000.00,2.2300%
66 540 500 000.00,5.3600%,35 202 600 000.00,2.8400%,3 352 600 000.00,0.2700%,1 763 500 000.00,0.1400%,26 221 800 000.00,2.1100%
65 721 600 000.00,4.9500%,36 463 800 000.00,2.7500%,3 094 400 000.00,0.2300%,1 629 400 000.00,0.1200%,24 534 000 000.00,1.8500%
67 268 300 000.00,4.9100%,39 143 200 000.00,2.8500%,3 059 200 000.00,0.2200%,1 681 500 000.00,0.1200%,23 384 400 000.00,1.7100%
71 769 200 000.00,5.0900%,40 344 900 000.00,2.8600%,3 223 900 000.00,0.2300%,1 696 300 000.00,0.1200%,26 504 100 000.00,1.8800%
70 228 000 000.00,4.8900%,40 344 000 000.00,2.8100%,3 035 400 000.00,0.2100%,1 682 000 000.00,0.1200%,25 166 600 000.00,1.7500%
76 736 200 000.00,5.1000%,41 620 000 000.00,2.7600%,3 094 800 000.00,0.2100%,1 728 500 000.00,0.1200%,30 292 900 000.00,2.0100%
80 224 800 000.00,5.0600%,39 942 300 000.00,2.5200%,3 168 000 000.00,0.2000%,1 687 200 000.00,0.1100%,35 427 300 000.00,2.2300%
80 943 000 000.00,4.8100%,37 613 100 000.00,2.2400%,3 282 200 000.00,0.2000%,1 722 200 000.00,0.1000%,38 325 500 000.00,2.2800%
84 352 800 000.00,4.8500%,40 620 300 000.00,2.3400%,3 488 300 000.00,0.2000%,1 706 900 000.00,0.1000%,38 537 300 000.00,2.2200%
77 761 500 000.00,4.3200%,38 523 200 000.00,2.1400%,3 453 600 000.00,0.1900%,1 671 700 000.00,0.0900%,34 113 000 000.00,1.8900%
70 320 200 000.00,4.0800%,39 922 100 000.00,2.3200%,3 018 000 000.00,0.1800%,1 608 400 000.00,0.0900%,25 771 700 000.00,1.5000%
74 691 500 000.00,4.1200%,42 783 500 000.00,2.3600%,2 360 100 000.00,0.1300%,1 568 100 000.00,0.0900%,27 979 800 000.00,1.5500%
76 478 900 000.00,4.1400%,44 396 100 000.00,2.4000%,2 355 200 000.00,0.1300%,1 597 800 000.00,0.0900%,28 129 800 000.00,1.5200%
76 623 500 000.00,4.0400%,45 235 400 000.00,2.3900%,2 780 100 000.00,0.1500%,1 765 500 000.00,0.0900%,26 842 500 000.00,1.4200%
78 136 300 000.00,4.0500%,46 559 500 000.00,2.4100%,3 245 400 000.00,0.1700%,1 831 700 000.00,0.1000%,26 499 700 000.00,1.3700%
79 536 780 000.00,4.0100%,45 973 600 000.00,2.3200%,2 553 380 000.00,0.1300%,1 854 900 000.00,0.0900%,29 154 900 000.00,1.4700%
81 262 800 000.00,3.9900%,44 929 800 000.00,2.2100%,2 880 000 000.00,0.1400%,1 952 400 000.00,0.1000%,31 500 600 000.00,1.5500%
82 472 000 000.00,3.9100%,45 672 800 000.00,2.1700%,2 447 700 000.00,0.1200%,1 833 200 000.00,0.0900%,32 518 300 000.00,1.5400%
80 357 400 000.00,3.6600%,43 605 400 000.00,1.9900%,2 101 900 000.00,0.1000%,1 823 700 000.00,0.0800%,32 826 400 000.00,1.5000%
81 577 100 000.00,3.6200%,43 929 600 000.00,1.9500%,2 155 600 000.00,0.1000%,1 901 300 000.00,0.0800%,33 590 600 000.00,1.4900%
76 401 170 000.00,3.3100%,39 459 200 000.00,1.7100%,1 907 570 000.00,0.0800%,1 923 800 000.00,0.0800%,33 110 600 000.00,1.4300%
73 822 280 000.00,3.1800%,38 506 700 000.00,1.6600%,2 044 180 000.00,0.0900%,1 956 900 000.00,0.0800%,31 314 500 000.00,1.3500%
72 382 730 000.00,2.8900%,38 818 410 000.00,1.5500%,2 252 960 000.00,0.0900%,2 104 190 000.00,0.0800%,29 207 170 000.00,1.1700%
53 643 801 608.65,1.6734%,44 499 401 207.61,1.3882%,0.00,0.0000%,0.00,0.0000%,9 144 400 401.04,0.2853%
58 573 620 413.59,1.6796%,46 977 206 894.11,1.3471%,0.00,0.0000%,0.00,0.0000%,11 596 413 519.48,0.3325%
66 476 449 226.82,1.7482%,54 541 038 031.29,1.4343%,0.00,0.0000%,0.00,0.0000%,11 935 411 195.53,0.3139%
71 363 421 240.42,1.6847%,58 570 745 443.08,1.3827%,0.00,0.0000%,0.00,0.0000%,12 792 675 797.34,0.3020%
78 396 735 500.63,1.7184%,62 570 820 830.74,1.3715%,0.00,0.0000%,0.00,0.0000%,15 825 914 669.89,0.3469%
60 180 197 625.49,1.3503%,49 397 392 427.68,1.1084%,0.00,0.0000%,0.00,0.0000%,10 782 805 197.81,0.2419%
89 003 293 821.94,1.6504%,69 577 018 842.26,1.2902%,0.00,0.0000%,0.00,0.0000%,19 426 274 979.68,0.3602%
30 810 000.00,0.1300%,nan,nan%,0.00,0.0000%,0.00,0.0000%,30 810 000.00,0.1300%
27 630 000.00,0.1100%,nan,nan%,0.00,0.0000%,0.00,0.0000%,27 630 000.00,0.1100%
48 980 000.00,0.1700%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,48 980 000.00,0.1700%
61 270 000.00,0.2200%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,61 270 000.00,0.2200%
38 050 000.00,0.1900%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,38 050 000.00,0.1900%
45 560 000.00,0.2500%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,45 560 000.00,0.2500%
81 080 000.00,0.3300%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,81 080 000.00,0.3300%
68 820 000.00,0.2400%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,68 820 000.00,0.2400%
67 340 000.00,0.2100%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,67 340 000.00,0.2100%
70 440 000.00,0.1900%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,70 440 000.00,0.1900%
88 200 000.00,0.2100%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,88 200 000.00,0.2100%
85 800 000.00,0.1800%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,85 800 000.00,0.1800%
96 440 000.00,0.1900%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,96 440 000.00,0.1900%
131 200 000.00,0.2100%,10 000.00,0.0000%,0.00,0.0000%,0.00,0.0000%,131 200 000.00,0.2100%
166 070 000.00,0.2700%,10 000.00,0.0000%,0.00,0.0000%,0.00,0.0000%,166 060 000.00,0.2700%
222 860 000.00,0.3200%,10 000.00,0.0000%,0.00,0.0000%,0.00,0.0000%,222 850 000.00,0.3200%
244 190 000.00,0.3100%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,244 190 000.00,0.3100%
391 060 000.00,0.4500%,0.00,0.0000%,110 640 000.00,0.1300%,0.00,0.0000%,280 420 000.00,0.3200%
445 660 000.00,0.4700%,0.00,0.0000%,131 180 000.00,0.1400%,0.00,0.0000%,314 470 000.00,0.3300%
491 430 000.00,0.4800%,0.00,0.0000%,137 540 000.00,0.1400%,0.00,0.0000%,353 900 000.00,0.3500%
482 080 000.00,0.4900%,3 180 000.00,0.0000%,135 290 000.00,0.1400%,0.00,0.0000%,343 610 000.00,0.3500%
420 540 000.00,0.4200%,13 980 000.00,0.0100%,140 270 000.00,0.1400%,0.00,0.0000%,266 290 000.00,0.2700%
452 760 000.00,0.4300%,31 690 000.00,0.0300%,142 120 000.00,0.1400%,0.00,0.0000%,278 940 000.00,0.2700%
477 230 000.00,0.4400%,25 960 000.00,0.0200%,154 270 000.00,0.1400%,0.00,0.0000%,296 990 000.00,0.2800%
425 440 000.00,0.3900%,1 950 000.00,0.0000%,158 160 000.00,0.1500%,0.00,0.0000%,265 340 000.00,0.2500%
270 740 000.00,0.2700%,1 380 000.00,0.0000%,36 260 000.00,0.0400%,0.00,0.0000%,233 100 000.00,0.2400%
311 420 000.00,0.2900%,1 610 000.00,0.0000%,42 460 000.00,0.0400%,nan,nan%,267 360 000.00,0.2500%
nan,nan%,nan,nan%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%
