ECGTE - Environmental Taxes,ECGTE - Environmental Taxes,ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEP - Taxes on Pollution,ECGTEP - Taxes on Pollution,ECGTER - Taxes on Resources,ECGTER - Taxes on Resources,ECGTET - Taxes on Transport (Excluding Fuel for Transport),ECGTET - Taxes on Transport (Excluding Fuel for Transport)
Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP
6 046 670 000.00,1.4800%,5 176 230 000.00,1.2600%,0.00,0.0000%,0.00,0.0000%,870 440 000.00,0.2100%
6 676 490 000.00,1.3800%,5 644 840 000.00,1.1600%,0.00,0.0000%,0.00,0.0000%,1 031 650 000.00,0.2100%
7 589 870 000.00,1.3000%,6 300 460 000.00,1.0800%,0.00,0.0000%,0.00,0.0000%,1 289 410 000.00,0.2200%
8 638 360 000.00,1.2100%,7 062 360 000.00,0.9900%,0.00,0.0000%,0.00,0.0000%,1 576 000 000.00,0.2200%
9 924 510 000.00,1.1100%,8 003 400 000.00,0.8900%,0.00,0.0000%,0.00,0.0000%,1 921 110 000.00,0.2100%
12 772 700 000.00,1.1100%,10 249 430 000.00,0.8900%,0.00,0.0000%,0.00,0.0000%,2 523 270 000.00,0.2200%
15 416 440 000.00,1.2400%,12 152 740 000.00,0.9700%,0.00,0.0000%,0.00,0.0000%,3 263 700 000.00,0.2600%
19 485 080 000.00,1.1700%,15 859 560 000.00,0.9500%,0.00,0.0000%,0.00,0.0000%,3 625 520 000.00,0.2200%
23 699 140 000.00,1.0900%,18 747 930 000.00,0.8600%,0.00,0.0000%,0.00,0.0000%,4 951 210 000.00,0.2300%
32 957 980 000.00,1.2500%,26 395 470 000.00,1.0000%,0.00,0.0000%,0.00,0.0000%,6 562 510 000.00,0.2500%
40 801 220 000.00,1.2200%,31 557 250 000.00,0.9400%,0.00,0.0000%,0.00,0.0000%,9 243 970 000.00,0.2800%
57 223 640 000.00,1.2500%,45 097 510 000.00,0.9900%,0.00,0.0000%,0.00,0.0000%,12 126 130 000.00,0.2700%
74 191 640 000.00,1.2500%,57 068 690 000.00,0.9600%,0.00,0.0000%,0.00,0.0000%,17 122 950 000.00,0.2900%
100 506 850 000.00,1.2200%,76 300 500 000.00,0.9300%,0.00,0.0000%,0.00,0.0000%,24 206 350 000.00,0.2900%
140 962 670 000.00,1.3200%,104 613 350 000.00,0.9800%,0.00,0.0000%,0.00,0.0000%,36 349 310 000.00,0.3400%
160 553 290 000.00,1.0900%,118 582 960 000.00,0.8000%,0.00,0.0000%,0.00,0.0000%,41 970 330 000.00,0.2800%
235 518 790 000.00,1.0800%,177 907 070 000.00,0.8200%,0.00,0.0000%,0.00,0.0000%,57 611 720 000.00,0.2600%
291 908 780 000.00,1.0600%,212 955 700 000.00,0.7800%,0.00,0.0000%,0.00,0.0000%,78 953 080 000.00,0.2900%
512 768 720 000.00,1.1000%,380 643 290 000.00,0.8200%,0.00,0.0000%,0.00,0.0000%,132 125 430 000.00,0.2800%
44 289 310 550.00,0.8781%,285 120 240.00,0.0057%,8 560 494 270.00,0.1697%,22 695 180 580.00,0.4500%,12 748 515 460.00,0.2528%
41 988 108 560.00,0.8286%,315 581 370.00,0.0062%,7 700 026 420.00,0.1520%,20 211 168 440.00,0.3989%,13 761 332 330.00,0.2716%
